price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,is_renovated
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,98178,47.5112,-122.257,1340,5650,true
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,98125,47.721,-122.319,1690,7639,false
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,98028,47.7379,-122.233,2720,8062,true
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,98136,47.5208,-122.393,1360,5000,true
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,98074,47.6168,-122.045,1800,7503,true
1.225e6,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,98053,47.6561,-122.005,4760,101930,true
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,98003,47.3097,-122.327,2238,6819,true
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,98198,47.4095,-122.315,1650,9711,true
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,98146,47.5123,-122.337,1780,8113,true
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,98038,47.3684,-122.031,2390,7570,true
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,98007,47.6007,-122.145,2210,8925,true
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,98115,47.69,-122.292,1330,6000,true
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,98028,47.7558,-122.229,1780,12697,true
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,98074,47.6127,-122.045,1370,10208,true
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,98107,47.67,-122.394,1360,4850,true
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,98126,47.5714,-122.375,2140,4000,true
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,98019,47.7277,-121.962,1890,14018,true
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,98103,47.6648,-122.343,1610,4300,true
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,98002,47.3089,-122.21,1060,5095,true
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,98003,47.3343,-122.306,1280,8850,true
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,98133,47.7025,-122.341,1400,4980,true
2.0e6,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,98040,47.5316,-122.233,4110,20336,true
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,98092,47.3266,-122.169,2240,7005,true
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,98030,47.3533,-122.166,1220,8386,true
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,98030,47.3739,-122.172,2200,6865,true
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,98002,47.3048,-122.218,1030,4705,true
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,98119,47.6386,-122.36,1760,3573,true
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,98112,47.6221,-122.314,1860,3861,true
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,98115,47.695,-122.304,1520,6235,true
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,98052,47.7073,-122.11,2630,6026,true
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,98027,47.5391,-122.07,2580,3980,true
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,98133,47.7274,-122.357,1390,1756,true
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,98117,47.6823,-122.368,1460,5000,true
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,98117,47.6889,-122.375,1570,5080,true
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,98058,47.4276,-122.157,2020,8720,true
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,98115,47.6827,-122.31,1590,3264,false
550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,98052,47.6621,-122.132,2160,11467,true
