target,OverallQual,GrLivArea,Neighborhood,x1stFlrSF,TotalBsmtSF,BsmtFinSF1,LotArea,GarageCars,MSSubClass,GarageArea,YearRemodAdd,YearBuilt
138000.0,5,816.0,Mitchel,816.0,816.0,816.0,6600.0,2,_20,816,2003.0,1982.0
369900.0,8,2028.0,Timber,2028.0,1868.0,1460.0,11443.0,3,_20,880,2006.0,2005.0
180000.0,7,1509.0,Gilbert,807.0,783.0,0.0,7875.0,2,_60,393,2003.0,2003.0
207500.0,6,1686.0,NWAmes,1686.0,1686.0,625.0,10240.0,2,_20,612,1980.0,1980.0
147000.0,5,1120.0,Mitchel,1120.0,1120.0,206.0,8402.0,0,_20,0,2007.0,2007.0
109000.0,5,1057.0,NAmes,1057.0,1057.0,731.0,7922.0,1,_20,246,2007.0,1953.0
173000.0,6,1291.0,ClearCr,1291.0,1291.0,1003.0,2887.0,2,_120,431,1997.0,1996.0
157900.0,5,1188.0,Mitchel,1188.0,1188.0,593.0,26142.0,1,_20,312,1962.0,1962.0
190000.0,5,1582.0,ClearCr,1582.0,1624.0,812.0,36500.0,2,_20,390,1964.0,1964.0
174000.0,7,1682.0,NWAmes,1682.0,1304.0,0.0,10400.0,2,_20,530,1970.0,1970.0
232600.0,8,1489.0,Somerst,1489.0,1489.0,0.0,11216.0,2,_20,776,2006.0,2006.0
37900.0,3,968.0,OldTown,600.0,600.0,0.0,5925.0,0,_50,0,1950.0,1910.0
124000.0,5,1750.0,OldTown,1089.0,636.0,0.0,9000.0,1,_70,240,1991.0,1880.0
131500.0,5,1039.0,Sawyer,1039.0,1039.0,841.0,11625.0,2,_190,504,1965.0,1965.0
155000.0,5,1128.0,NAmes,1128.0,1120.0,776.0,8700.0,2,_20,525,1963.0,1963.0
133700.0,5,1040.0,NAmes,1040.0,1040.0,369.0,7560.0,1,_20,286,1959.0,1959.0
139000.0,6,1196.0,NAmes,1196.0,1196.0,616.0,9000.0,1,_20,297,1956.0,1956.0
166000.0,5,1385.0,NAmes,910.0,910.0,507.0,8520.0,2,_50,720,1952.0,1952.0
163500.0,5,964.0,Crawfor,964.0,876.0,713.0,13360.0,2,_30,432,2006.0,1921.0
162000.0,5,1287.0,NAmes,1287.0,1063.0,72.0,9830.0,2,_20,576,2006.0,1959.0
124900.0,5,1869.0,OldTown,1188.0,1088.0,1088.0,8820.0,2,_50,456,1996.0,1890.0
190000.0,6,1888.0,NAmes,1888.0,1517.0,247.0,16492.0,2,_20,578,2002.0,1966.0
160000.0,6,1251.0,NAmes,1251.0,1251.0,553.0,8800.0,1,_20,461,1964.0,1964.0
192140.0,5,1838.0,Gilbert,734.0,732.0,0.0,21930.0,2,_60,372,2005.0,2005.0
333168.0,9,2599.0,NoRidge,1422.0,1393.0,0.0,14774.0,3,_60,779,1999.0,1999.0
153000.0,5,1306.0,NAmes,1306.0,992.0,860.0,8712.0,1,_20,756,2000.0,1957.0
225000.0,7,1733.0,Gilbert,847.0,847.0,0.0,12394.0,2,_60,433,2003.0,2003.0
80500.0,4,912.0,BrkSide,672.0,0.0,0.0,6240.0,0,_50,0,1950.0,1947.0
285000.0,8,2872.0,NoRidge,2129.0,1683.0,700.0,10678.0,2,_50,541,2000.0,1992.0
130000.0,7,1709.0,Edwards,970.0,970.0,0.0,2522.0,2,_160,380,2004.0,2004.0
167240.0,7,1248.0,Blmngtn,1248.0,1248.0,16.0,3010.0,2,_120,438,2006.0,2005.0
200000.0,6,1700.0,CollgCr,1700.0,1682.0,340.0,9135.0,2,_20,544,2003.0,2003.0
105000.0,6,1258.0,Edwards,698.0,560.0,204.0,9060.0,1,_50,280,1950.0,1939.0
192000.0,7,1431.0,CollgCr,1431.0,1431.0,560.0,9017.0,2,_20,666,1999.0,1999.0
140000.0,5,936.0,OldTown,936.0,936.0,936.0,7200.0,2,_90,672,1980.0,1980.0
165000.0,6,1350.0,NWAmes,1350.0,1064.0,0.0,10140.0,2,_20,478,1974.0,1974.0
187500.0,6,1498.0,Gilbert,691.0,691.0,592.0,13031.0,2,_60,409,1996.0,1995.0
119000.0,5,1367.0,Edwards,961.0,861.0,241.0,8405.0,1,_50,384,1950.0,1900.0
178740.0,7,1414.0,Blmngtn,1414.0,1375.0,0.0,3072.0,2,_120,398,2004.0,2004.0
178900.0,6,1484.0,Gilbert,783.0,783.0,0.0,10237.0,2,_60,393,2007.0,2005.0
189000.0,8,1228.0,StoneBr,1228.0,1228.0,767.0,4671.0,2,_120,472,1989.0,1988.0
52500.0,4,693.0,OldTown,693.0,693.0,0.0,4118.0,0,_30,0,1950.0,1941.0
